CIGE_ID;DEGE_ID;CIGE_NOMBRE;CIGE_REGISTRADOPOR;CIGE_FECHACAMBIO
0;0;NINGUNO;edilverbm;2014-07-17
9000;0;Sin Municipio;edilverbm;2014-07-17
11;1;SANTA FÉ;edilverbm;2014-07-17
5520;5;SANTAFE DE ANTIOQUIA;edilverbm;2014-07-17
5002;5;ABEJORRAL;edilverbm;2014-07-17
5004;5;ABRIAQUI;edilverbm;2014-07-17
5021;5;ALEJANDRIA;edilverbm;2014-07-17
5031;5;AMALFI;edilverbm;2014-07-17
5034;5;ANDES;edilverbm;2014-07-17
5036;5;ANGELOPOLIS;edilverbm;2014-07-17
5038;5;ANGOSTURA;edilverbm;2014-07-17
5040;5;ANORI;edilverbm;2014-07-17
5042;5;ANTIOQUIA;edilverbm;2014-07-17
5044;5;ANZA;edilverbm;2014-07-17
5045;5;APARTADO;edilverbm;2014-07-17
5055;5;ARGELIA;edilverbm;2014-07-17
5059;5;ARMENIA;edilverbm;2014-07-17
5079;5;BARBOSA;edilverbm;2014-07-17
5086;5;BELMIRA;edilverbm;2014-07-17
5088;5;BELLO;edilverbm;2014-07-17
5091;5;BETANIA;edilverbm;2014-07-17
5093;5;BETULIA;edilverbm;2014-07-17
5101;5;BOLIVAR;edilverbm;2014-07-17
5107;5;BRICEÑO;edilverbm;2014-07-17
5113;5;BURITICA;edilverbm;2014-07-17
5125;5;CAICEDO;edilverbm;2014-07-17
5129;5;CALDAS;edilverbm;2014-07-17
5134;5;CAMPAMENTO;edilverbm;2014-07-17
5138;5;CAÑASGORDAS;edilverbm;2014-07-17
5142;5;CARACOLI;edilverbm;2014-07-17
5145;5;CARAMANTA;edilverbm;2014-07-17
5147;5;CAREPA;edilverbm;2014-07-17
5148;5;CARMEN DE VIBORAL;edilverbm;2014-07-17
5150;5;CAROLINA;edilverbm;2014-07-17
5172;5;CHIGORODO;edilverbm;2014-07-17
5190;5;CISNEROS;edilverbm;2014-07-17
5197;5;COCORNA;edilverbm;2014-07-17
